2. 읍·면·동별 세대 및 인구,,,,,,,,,,
,,,,,,,,,," (단위: 세대, 명) "
구   분, 합          계 ,,, 한   국   인  ,,,,  외   국   인 ,,
, 인     구 ,,, 세대 , 인      구 ,,, 인     구 ,,
, 계 , 남 , 여 ,, 계 , 남 , 여 , 계 , 남 , 여 
총계,552310 ,274579 ,277731 ,188760 ,550831 ,273871 ,276960 ,1479 ,708 ,771 
제 주 시,290664 ,143616 ,147048 ,98081 ,289874 ,143260 ,146614 ,790 ,356 ,434 
일도 1동,4488 ,2259 ,2229 ,1837 ,4465 ,2251 ,2214 ,23 ,8 ,15 
일도 2동,39105 ,19173 ,19932 ,12124 ,39040 ,19144 ,19896 ,65 ,29 ,36 
이도 1동,7456 ,3577 ,3879 ,2809 ,7408 ,3552 ,3856 ,48 ,25 ,23 
이도 2동,40144 ,19649 ,20495 ,12936 ,40058 ,19613 ,20445 ,86 ,36 ,50 
이도 2동,26266 ,12841 ,13425 ,8574 ,26191 ,12810 ,13381 ,75 ,31 ,44 
도 남 동,13878 ,6808 ,7070 ,4362 ,13867 ,6803 ,7064 ,11 ,5 ,6 
삼도 1동,14067 ,6843 ,7224 ,4814 ,14049 ,6839 ,7210 ,18 ,4 ,14 
삼도 2동,9600 ,4774 ,4826 ,3706 ,9532 ,4745 ,4787 ,68 ,29 ,39 
용담 1동,9290 ,4490 ,4800 ,3417 ,9279 ,4486 ,4793 ,11 ,4 ,7 
용담 2동,17839 ,9007 ,8832 ,5866 ,17802 ,8991 ,8811 ,37 ,16 ,21 
용담 2동,15107 ,7630 ,7477 ,4986 ,15076 ,7617 ,7459 ,31 ,13 ,18 
용담 3동,2732 ,1377 ,1355 ,880 ,2726 ,1374 ,1352 ,6 ,3 ,3 
건 입 동,11659 ,5827 ,5832 ,4192 ,11640 ,5815 ,5825 ,19 ,12 ,7 
화 북 동,21062 ,10527 ,10535 ,6503 ,21011 ,10490 ,10521 ,51 ,37 ,14 
화북 1동,18798 ,9352 ,9446 ,5743 ,18767 ,9333 ,9434 ,31 ,19 ,12 
