2. 읍·면·동별 세대 및 인구,,,,,,,,,,
,,,,,,,,,," (단위: 세대, 명) "
화북 2동,2264 ,1175 ,1089 ,760 ,2244 ,1157 ,1087 ,20 ,18 ,2 
삼 양 동,9287 ,4636 ,4651 ,2966 ,9281 ,4635 ,4646 ,6 ,1 ,5 
삼양 1동,2631 ,1289 ,1342 ,847 ,2626 ,1288 ,1338 ,5 ,1 ,4 
삼양 2동,3491 ,1727 ,1764 ,1068 ,3490 ,1727 ,1763 ,1 ,0 ,1 
삼양 3동,409 ,218 ,191 ,141 ,409 ,218 ,191 ,0 ,0 ,0 
도련 1동,1878 ,956 ,922 ,617 ,1878 ,956 ,922 ,0 ,0 ,0 
도련 2동,878 ,446 ,432 ,293 ,878 ,446 ,432 ,0 ,0 ,0 
봉 개 동,2754 ,1412 ,1342 ,915 ,2731 ,1392 ,1339 ,23 ,20 ,3 
봉 개 동,1794 ,899 ,895 ,614 ,1794 ,899 ,895 ,0 ,0 ,0 
회 천 동,591 ,323 ,268 ,177 ,568 ,303 ,265 ,23 ,20 ,3 
용 강 동,369 ,190 ,179 ,124 ,369 ,190 ,179 ,0 ,0 ,0 
아 라 동,12359 ,6240 ,6119 ,4370 ,12298 ,6205 ,6093 ,61 ,35 ,26 
아라 1동,6956 ,3420 ,3536 ,2465 ,6912 ,3396 ,3516 ,44 ,24 ,20 
아라 2동,1831 ,963 ,868 ,618 ,1829 ,962 ,867 ,2 ,1 ,1 
오 등 동,1312 ,687 ,625 ,452 ,1310 ,686 ,624 ,2 ,1 ,1 
월 평 동,678 ,354 ,324 ,276 ,673 ,352 ,321 ,5 ,2 ,3 
영 평 동,1582 ,816 ,766 ,559 ,1574 ,809 ,765 ,8 ,7 ,1 
오 라 동,5276 ,2704 ,2572 ,1832 ,5270 ,2702 ,2568 ,6 ,2 ,4 
오라 1동,1981 ,997 ,984 ,694 ,1980 ,997 ,983 ,1 ,0 ,1 
오라 2동,2293 ,1198 ,1095 ,770 ,2291 ,1198 ,1093 ,2 ,0 ,2 
오라 3동,1002 ,509 ,493 ,368 ,999 ,507 ,492 ,3 ,2 ,1 
연     동,34516 ,16799 ,17717 ,12525 ,34357 ,16749 ,17608 ,159 ,50 ,109 
노 형 동,34131 ,16790 ,17341 ,11316 ,34047 ,16749 ,17298 ,84 ,41 ,43 
노 형 동,33178 ,16314 ,16864 ,11013 ,33099 ,16276 ,16823 ,79 ,38 ,41 
해 안 동,953 ,476 ,477 ,303 ,948 ,473 ,475 ,5 ,3 ,2 
외 도 동,11475 ,5753 ,5722 ,3898 ,11460 ,5751 ,5709 ,15 ,2 ,13 
외도 1동,8253 ,4125 ,4128 ,2764 ,8242 ,4123 ,4119 ,11 ,2 ,9 
외도 2동,960 ,487 ,473 ,348 ,958 ,487 ,471 ,2 ,0 ,2 
내 도 동,1163 ,589 ,574 ,360 ,1163 ,589 ,574 ,0 ,0 ,0 
도 평 동,1099 ,552 ,547 ,426 ,1097 ,552 ,545 ,2 ,0 ,2 
이 호 동,4023 ,2051 ,1972 ,1355 ,4014 ,2047 ,1967 ,9 ,4 ,5 
이호 1동,1385 ,719 ,666 ,489 ,1380 ,717 ,663 ,5 ,2 ,3 
이호 2동,2638 ,1332 ,1306 ,866 ,2634 ,1330 ,1304 ,4 ,2 ,2 
도 두 동,2133 ,1105 ,1028 ,700 ,2132 ,1104 ,1028 ,1 ,1 ,0 
도두 1동,1451 ,751 ,700 ,476 ,1450 ,750 ,700 ,1 ,1 ,0 
도두 2동,682 ,354 ,328 ,224 ,682 ,354 ,328 ,0 ,0 ,0 
서귀포시,84862 ,42214 ,42648 ,28813 ,84601 ,42089 ,42512 ,261 ,125 ,136 
송 산 동,5918 ,3036 ,2882 ,2099 ,5879 ,3002 ,2877 ,39 ,34 ,5 
서 귀 동,3150 ,1616 ,1534 ,1210 ,3117 ,1586 ,1531 ,33 ,30 ,3 
보 목 동,2697 ,1379 ,1318 ,859 ,2691 ,1375 ,1316 ,6 ,4 ,2 
토 평 동,52 ,32 ,20 ,24 ,52 ,32 ,20 ,0 ,0 ,0 
동 홍 동,19 ,9 ,10 ,6 ,19 ,9 ,10 ,0 ,0 ,0 
정 방 동,3550 ,1718 ,1832 ,1474 ,3496 ,1702 ,1794 ,54 ,16 ,38 
서 귀 동,3550 ,1718 ,1832 ,1474 ,3496 ,1702 ,1794 ,54 ,16 ,38 
중 앙 동,5174 ,2434 ,2740 ,1963 ,5159 ,2427 ,2732 ,15 ,7 ,8 
서 귀 동,5174 ,2434 ,2740 ,1963 ,5159 ,2427 ,2732 ,15 ,7 ,8 
천 지 동,4336 ,2137 ,2199 ,1690 ,4325 ,2133 ,2192 ,11 ,4 ,7 
서 귀 동,3934 ,1921 ,2013 ,1544 ,3923 ,1917 ,2006 ,11 ,4 ,7 
서 홍 동,402 ,216 ,186 ,146 ,402 ,216 ,186 ,0 ,0 ,0 
효 돈 동,5669 ,2835 ,2834 ,1711 ,5668 ,2834 ,2834 ,1 ,1 ,0 
신 효 동,1918 ,967 ,951 ,596 ,1917 ,966 ,951 ,1 ,1 ,0 
하 효 동,3751 ,1868 ,1883 ,1115 ,3751 ,1868 ,1883 ,0 ,0 ,0 
영 천 동,5054 ,2527 ,2527 ,1679 ,5048 ,2523 ,2525 ,6 ,4 ,2 
토 평 동,3498 ,1732 ,1766 ,1155 ,3492 ,1728 ,1764 ,6 ,4 ,2 
상 효 동,1556 ,795 ,761 ,524 ,1556 ,795 ,761 ,0 ,0 ,0 
동 홍 동,17822 ,8787 ,9035 ,5903 ,17776 ,8765 ,9011 ,46 ,22 ,24 
서 홍 동,8052 ,4074 ,3978 ,2818 ,8026 ,4060 ,3966 ,26 ,14 ,12 
대 륜 동,9982 ,5014 ,4968 ,3159 ,9966 ,5011 ,4955 ,16 ,3 ,13 
법 환 동,5242 ,2590 ,2652 ,1659 ,5232 ,2588 ,2644 ,10 ,2 ,8 
서 호 동,2788 ,1416 ,1372 ,861 ,2786 ,1415 ,1371 ,2 ,1 ,1 
호 근 동,1952 ,1008 ,944 ,639 ,1948 ,1008 ,940 ,4 ,0 ,4 
대 천 동,7553 ,3704 ,3849 ,2344 ,7543 ,3699 ,3844 ,10 ,5 ,5 
월 평 동,735 ,382 ,353 ,249 ,734 ,381 ,353 ,1 ,1 ,0 
강 정 동,5751 ,2794 ,2957 ,1763 ,5744 ,2792 ,2952 ,7 ,2 ,5 
도 순 동,1062 ,527 ,535 ,331 ,1060 ,525 ,535 ,2 ,2 ,0 
영 남 동,5 ,1 ,4 ,1 ,5 ,1 ,4 ,0 ,0 ,0 
중 문 동,8060 ,4069 ,3991 ,2723 ,8050 ,4067 ,3983 ,10 ,2 ,8 
중 문 동,4068 ,2012 ,2056 ,1406 ,4065 ,2011 ,2054 ,3 ,1 ,2 
대 포 동,1492 ,772 ,720 ,500 ,1491 ,772 ,719 ,1 ,0 ,1 
하 원 동,1706 ,882 ,824 ,559 ,1703 ,882 ,821 ,3 ,0 ,3 
회 수 동,794 ,403 ,391 ,258 ,791 ,402 ,389 ,3 ,1 ,2 
예 래 동,3692 ,1879 ,1813 ,1250 ,3665 ,1866 ,1799 ,27 ,13 ,14 
색 달 동,731 ,383 ,348 ,226 ,707 ,370 ,337 ,24 ,13 ,11 
상 예 동,1650 ,840 ,810 ,582 ,1648 ,840 ,808 ,2 ,0 ,2 
하 예 동,1311 ,656 ,655 ,442 ,1310 ,656 ,654 ,1 ,0 ,1 
북제주군,100824 ,50695 ,50129 ,35880 ,100540 ,50550 ,49990 ,284 ,145 ,139 
한 림 읍,21284 ,10701 ,10583 ,7632 ,21219 ,10662 ,10557 ,65 ,39 ,26 
귀덕 1리,1397 ,690 ,707 ,493 ,1392 ,685 ,707 ,5 ,5 ,0 
귀덕 2리,754 ,360 ,394 ,299 ,751 ,359 ,392 ,3 ,1 ,2 
귀덕 3리,367 ,191 ,176 ,125 ,367 ,191 ,176 ,0 ,0 ,0 
수 원 리,1233 ,577 ,656 ,443 ,1229 ,575 ,654 ,4 ,2 ,2 
한 수 리,833 ,443 ,390 ,295 ,827 ,437 ,390 ,6 ,6 ,0 
대 림 리,1575 ,764 ,811 ,592 ,1564 ,759 ,805 ,11 ,5 ,6 
한림 1리,3584 ,1792 ,1792 ,1292 ,3577 ,1789 ,1788 ,7 ,3 ,4 
한림 2리,2276 ,1137 ,1139 ,812 ,2267 ,1134 ,1133 ,9 ,3 ,6 
한림 3리,211 ,118 ,93 ,73 ,209 ,116 ,93 ,2 ,2 ,0 
강 구 리,327 ,153 ,174 ,102 ,327 ,153 ,174 ,0 ,0 ,0 
상 대 리,271 ,152 ,119 ,94 ,271 ,152 ,119 ,0 ,0 ,0 
동 명 리,917 ,498 ,419 ,310 ,916 ,497 ,419 ,1 ,1 ,0 
명 월 리,788 ,411 ,377 ,280 ,787 ,411 ,376 ,1 ,0 ,1 
금 악 리,1186 ,595 ,591 ,446 ,1181 ,592 ,589 ,5 ,3 ,2 
상 명 리,500 ,270 ,230 ,187 ,493 ,264 ,229 ,7 ,6 ,1 
월 림 리,400 ,209 ,191 ,163 ,399 ,209 ,190 ,1 ,0 ,1 
옹 포 리,1715 ,856 ,859 ,596 ,1714 ,855 ,859 ,1 ,1 ,0 
협 재 리,1022 ,521 ,501 ,365 ,1022 ,521 ,501 ,0 ,0 ,0 
금 능 리,1343 ,672 ,671 ,452 ,1342 ,671 ,671 ,1 ,1 ,0 
월 령 리,423 ,215 ,208 ,152 ,422 ,215 ,207 ,1 ,0 ,1 
비 양 리,162 ,77 ,85 ,61 ,162 ,77 ,85 ,0 ,0 ,0 
애 월 읍,26942 ,13617 ,13325 ,9532 ,26834 ,13560 ,13274 ,108 ,57 ,51 
애 월 리,1978 ,1002 ,976 ,743 ,1970 ,998 ,972 ,8 ,4 ,4 
곽 지 리,1156 ,555 ,601 ,402 ,1156 ,555 ,601 ,0 ,0 ,0 
금 성 리,576 ,284 ,292 ,202 ,576 ,284 ,292 ,0 ,0 ,0 
봉 성 리,1327 ,667 ,660 ,435 ,1286 ,648 ,638 ,41 ,19 ,22 
어음 1리,262 ,134 ,128 ,106 ,262 ,134 ,128 ,0 ,0 ,0 
어음 2리,263 ,137 ,126 ,94 ,263 ,137 ,126 ,0 ,0 ,0 
납 읍 리,1392 ,706 ,686 ,476 ,1392 ,706 ,686 ,0 ,0 ,0 
고 내 리,1025 ,528 ,497 ,400 ,1023 ,528 ,495 ,2 ,0 ,2 
상 가 리,784 ,410 ,374 ,273 ,784 ,410 ,374 ,0 ,0 ,0 
하 가 리,417 ,201 ,216 ,159 ,415 ,200 ,215 ,2 ,1 ,1 
신 엄 리,1098 ,535 ,563 ,363 ,1098 ,535 ,563 ,0 ,0 ,0 
중 엄 리,717 ,354 ,363 ,248 ,717 ,354 ,363 ,0 ,0 ,0 
구 엄 리,923 ,471 ,452 ,317 ,923 ,471 ,452 ,0 ,0 ,0 
용 흥 리,425 ,224 ,201 ,145 ,424 ,224 ,200 ,1 ,0 ,1 
하귀 1리,2486 ,1258 ,1228 ,880 ,2479 ,1253 ,1226 ,7 ,5 ,2 
하귀 2리,3500 ,1746 ,1754 ,1190 ,3496 ,1743 ,1753 ,4 ,3 ,1 
상 귀 리,692 ,377 ,315 ,242 ,683 ,371 ,312 ,9 ,6 ,3 
수 산 리,1213 ,618 ,595 ,392 ,1210 ,618 ,592 ,3 ,0 ,3 
소 길 리,349 ,179 ,170 ,125 ,342 ,172 ,170 ,7 ,7 ,0 
장 전 리,714 ,377 ,337 ,233 ,712 ,376 ,336 ,2 ,1 ,1 
유수암리,781 ,427 ,354 ,317 ,780 ,427 ,353 ,1 ,0 ,1 
고성 1리,768 ,398 ,370 ,262 ,768 ,398 ,370 ,0 ,0 ,0 
고성 2리,354 ,154 ,200 ,124 ,354 ,154 ,200 ,0 ,0 ,0 
광령 1리,2687 ,1342 ,1345 ,956 ,2684 ,1340 ,1344 ,3 ,2 ,1 
광령 2리,706 ,346 ,360 ,327 ,689 ,337 ,352 ,17 ,9 ,8 
광령 3리,349 ,187 ,162 ,121 ,348 ,187 ,161 ,1 ,0 ,1 
구 좌 읍,16797 ,8323 ,8474 ,5962 ,16758 ,8300 ,8458 ,39 ,23 ,16 
동 복 리,715 ,367 ,348 ,264 ,714 ,366 ,348 ,1 ,1 ,0 
김 녕 리,3340 ,1616 ,1724 ,1140 ,3333 ,1611 ,1722 ,7 ,5 ,2 
덕 천 리,295 ,150 ,145 ,124 ,295 ,150 ,145 ,0 ,0 ,0 
월 정 리,799 ,400 ,399 ,308 ,799 ,400 ,399 ,0 ,0 ,0 
행 원 리,1012 ,508 ,504 ,360 ,990 ,493 ,497 ,22 ,15 ,7 
한 동 리,1480 ,724 ,756 ,490 ,1480 ,724 ,756 ,0 ,0 ,0 
평 대 리,1613 ,799 ,814 ,587 ,1612 ,798 ,814 ,1 ,1 ,0 
송 당 리,1122 ,566 ,556 ,365 ,1122 ,566 ,556 ,0 ,0 ,0 
세 화 리,2289 ,1124 ,1165 ,854 ,2286 ,1124 ,1162 ,3 ,0 ,3 
상 도 리,453 ,228 ,225 ,157 ,453 ,228 ,225 ,0 ,0 ,0 
하 도 리,2259 ,1132 ,1127 ,838 ,2255 ,1132 ,1123 ,4 ,0 ,4 
종 달 리,1420 ,709 ,711 ,475 ,1419 ,708 ,711 ,1 ,1 ,0 
조 천 읍,21240 ,10725 ,10515 ,7169 ,21183 ,10703 ,10480 ,57 ,22 ,35 
신 촌 리,4278 ,2185 ,2093 ,1393 ,4271 ,2182 ,2089 ,7 ,3 ,4 
조 천 리,5322 ,2634 ,2688 ,1755 ,5314 ,2633 ,2681 ,8 ,1 ,7 
신 흥 리,698 ,349 ,349 ,246 ,697 ,349 ,348 ,1 ,0 ,1 
함 덕 리,6311 ,3140 ,3171 ,2054 ,6288 ,3132 ,3156 ,23 ,8 ,15 
북 촌 리,1608 ,829 ,779 ,603 ,1602 ,827 ,775 ,6 ,2 ,4 
선흘 1리,668 ,354 ,314 ,226 ,667 ,353 ,314 ,1 ,1 ,0 
선흘 2리,384 ,197 ,187 ,151 ,384 ,197 ,187 ,0 ,0 ,0 
와 산 리,347 ,181 ,166 ,130 ,339 ,174 ,165 ,8 ,7 ,1 
대흘 1리,259 ,135 ,124 ,102 ,258 ,135 ,123 ,1 ,0 ,1 
대흘 2리,363 ,187 ,176 ,122 ,363 ,187 ,176 ,0 ,0 ,0 
와 흘 리,723 ,385 ,338 ,270 ,721 ,385 ,336 ,2 ,0 ,2 
교 래 리,279 ,149 ,130 ,117 ,279 ,149 ,130 ,0 ,0 ,0 
한 경 면,9460 ,4688 ,4772 ,3532 ,9449 ,4686 ,4763 ,11 ,2 ,9 
판 포 리,605 ,309 ,296 ,255 ,604 ,309 ,295 ,1 ,0 ,1 
금 등 리,190 ,99 ,91 ,80 ,190 ,99 ,91 ,0 ,0 ,0 
두 모 리,559 ,268 ,291 ,200 ,558 ,268 ,290 ,1 ,0 ,1 
신 창 리,1001 ,490 ,511 ,361 ,1001 ,490 ,511 ,0 ,0 ,0 
용 당 리,308 ,149 ,159 ,135 ,308 ,149 ,159 ,0 ,0 ,0 
한 원 리,342 ,167 ,175 ,142 ,342 ,167 ,175 ,0 ,0 ,0 
낙 천 리,239 ,126 ,113 ,91 ,239 ,126 ,113 ,0 ,0 ,0 
조수 1리,771 ,398 ,373 ,289 ,769 ,398 ,371 ,2 ,0 ,2 
조수 2리,163 ,87 ,76 ,63 ,163 ,87 ,76 ,0 ,0 ,0 
청 수 리,513 ,242 ,271 ,176 ,512 ,242 ,270 ,1 ,0 ,1 
저 지 리,1090 ,543 ,547 ,385 ,1088 ,543 ,545 ,2 ,0 ,2 
고산 1리,1931 ,941 ,990 ,687 ,1928 ,940 ,988 ,3 ,1 ,2 
고산 2리,698 ,345 ,353 ,257 ,698 ,345 ,353 ,0 ,0 ,0 
산 양 리,511 ,255 ,256 ,189 ,511 ,255 ,256 ,0 ,0 ,0 
용 수 리,539 ,269 ,270 ,222 ,538 ,268 ,270 ,1 ,1 ,0 
추 자 면,3382 ,1827 ,1555 ,1400 ,3378 ,1825 ,1553 ,4 ,2 ,2 
대 서 리,1658 ,979 ,679 ,703 ,1655 ,977 ,678 ,3 ,2 ,1 
영 흥 리,682 ,355 ,327 ,263 ,681 ,355 ,326 ,1 ,0 ,1 
묵    리,265 ,127 ,138 ,116 ,265 ,127 ,138 ,0 ,0 ,0 
예 초 리,219 ,93 ,126 ,97 ,219 ,93 ,126 ,0 ,0 ,0 
신양 1리,414 ,203 ,211 ,163 ,414 ,203 ,211 ,0 ,0 ,0 
신양 2리,144 ,70 ,74 ,58 ,144 ,70 ,74 ,0 ,0 ,0 
우 도 면 ,1719 ,814 ,905 ,653 ,1719 ,814 ,905 ,0 ,0 ,0 
서 광 리,408 ,207 ,201 ,158 ,408 ,207 ,201 ,0 ,0 ,0 
천 진 리,340 ,154 ,186 ,134 ,340 ,154 ,186 ,0 ,0 ,0 
조 일 리,460 ,218 ,242 ,169 ,460 ,218 ,242 ,0 ,0 ,0 
오 봉 리,511 ,235 ,276 ,192 ,511 ,235 ,276 ,0 ,0 ,0 
남제주군,75960 ,38054 ,37906 ,25986 ,75816 ,37972 ,37844 ,144 ,82 ,62 
대 정 읍,18599 ,9285 ,9314 ,6502 ,18576 ,9270 ,9306 ,23 ,15 ,8 
상모 1리,868 ,430 ,438 ,301 ,868 ,430 ,438 ,0 ,0 ,0 
상모 2리,2138 ,1066 ,1072 ,700 ,2137 ,1066 ,1071 ,1 ,0 ,1 
상모 3리,1240 ,610 ,630 ,426 ,1240 ,610 ,630 ,0 ,0 ,0 
하모 1리,699 ,345 ,354 ,230 ,699 ,345 ,354 ,0 ,0 ,0 
하모 2리,2655 ,1307 ,1348 ,915 ,2650 ,1303 ,1347 ,5 ,4 ,1 
하모 3리,2735 ,1363 ,1372 ,938 ,2732 ,1362 ,1370 ,3 ,1 ,2 
동일 1리,717 ,364 ,353 ,242 ,717 ,364 ,353 ,0 ,0 ,0 
동일 2리,131 ,69 ,62 ,55 ,131 ,69 ,62 ,0 ,0 ,0 
일과 1리,532 ,276 ,256 ,189 ,532 ,276 ,256 ,0 ,0 ,0 
일과 2리,541 ,265 ,276 ,195 ,535 ,260 ,275 ,6 ,5 ,1 
인 성 리,724 ,348 ,376 ,252 ,723 ,348 ,375 ,1 ,0 ,1 
안 성 리,381 ,211 ,170 ,129 ,379 ,209 ,170 ,2 ,2 ,0 
보 성 리,584 ,293 ,291 ,207 ,584 ,293 ,291 ,0 ,0 ,0 
신 평 리,553 ,286 ,267 ,197 ,549 ,284 ,265 ,4 ,2 ,2 
구 억 리,416 ,210 ,206 ,143 ,416 ,210 ,206 ,0 ,0 ,0 
가 파 리,346 ,167 ,179 ,142 ,346 ,167 ,179 ,0 ,0 ,0 
마 라 리,84 ,43 ,41 ,46 ,84 ,43 ,41 ,0 ,0 ,0 
영 락 리,787 ,398 ,389 ,282 ,786 ,397 ,389 ,1 ,1 ,0 
무릉 1리,793 ,402 ,391 ,300 ,793 ,402 ,391 ,0 ,0 ,0 
무릉 2리,598 ,293 ,305 ,209 ,598 ,293 ,305 ,0 ,0 ,0 
신도 1리,505 ,238 ,267 ,192 ,505 ,238 ,267 ,0 ,0 ,0 
신도 2리,290 ,154 ,136 ,108 ,290 ,154 ,136 ,0 ,0 ,0 
신도 3리,282 ,147 ,135 ,104 ,282 ,147 ,135 ,0 ,0 ,0 
남 원 읍,20054 ,10124 ,9930 ,6500 ,20028 ,10117 ,9911 ,26 ,7 ,19 
신흥 1리,1048 ,513 ,535 ,370 ,1046 ,513 ,533 ,2 ,0 ,2 
신흥 2리,606 ,312 ,294 ,206 ,603 ,311 ,292 ,3 ,1 ,2 
태흥 1리,852 ,448 ,404 ,280 ,852 ,448 ,404 ,0 ,0 ,0 
태흥 2리,1383 ,684 ,699 ,447 ,1382 ,684 ,698 ,1 ,0 ,1 
태흥 3리,506 ,267 ,239 ,177 ,506 ,267 ,239 ,0 ,0 ,0 
의 귀 리,1234 ,620 ,614 ,381 ,1233 ,619 ,614 ,1 ,1 ,0 
수 망 리,412 ,193 ,219 ,128 ,412 ,193 ,219 ,0 ,0 ,0 
한 남 리,382 ,195 ,187 ,130 ,381 ,195 ,186 ,1 ,0 ,1 
남원 1리,3778 ,1860 ,1918 ,1212 ,3767 ,1858 ,1909 ,11 ,2 ,9 
남원 2리,640 ,315 ,325 ,194 ,640 ,315 ,325 ,0 ,0 ,0 
위미 1리,1883 ,981 ,902 ,610 ,1882 ,980 ,902 ,1 ,1 ,0 
위미 2리,2728 ,1369 ,1359 ,853 ,2725 ,1368 ,1357 ,3 ,1 ,2 
위미 3리,383 ,201 ,182 ,115 ,382 ,201 ,181 ,1 ,0 ,1 
신례 1리,1593 ,831 ,762 ,500 ,1593 ,831 ,762 ,0 ,0 ,0 
신례 2리,655 ,340 ,315 ,226 ,654 ,339 ,315 ,1 ,1 ,0 
하례 1리,1330 ,671 ,659 ,436 ,1329 ,671 ,658 ,1 ,0 ,1 
하례 2리,641 ,324 ,317 ,235 ,641 ,324 ,317 ,0 ,0 ,0 
성 산 읍,15726 ,7928 ,7798 ,5578 ,15683 ,7897 ,7786 ,43 ,31 ,12 
성 산 리,2161 ,1132 ,1029 ,822 ,2149 ,1120 ,1029 ,12 ,12 ,0 
오 조 리,1012 ,483 ,529 ,359 ,1004 ,475 ,529 ,8 ,8 ,0 
시 흥 리,1277 ,664 ,613 ,454 ,1277 ,664 ,613 ,0 ,0 ,0 
고 성 리,3525 ,1786 ,1739 ,1270 ,3518 ,1783 ,1735 ,7 ,3 ,4 
수산 1리,974 ,474 ,500 ,334 ,968 ,470 ,498 ,6 ,4 ,2 
수산 2리,284 ,146 ,138 ,89 ,284 ,146 ,138 ,0 ,0 ,0 
신 양 리,993 ,505 ,488 ,346 ,993 ,505 ,488 ,0 ,0 ,0 
온 평 리,1463 ,736 ,727 ,485 ,1462 ,736 ,726 ,1 ,0 ,1 
난 산 리,556 ,268 ,288 ,215 ,554 ,268 ,286 ,2 ,0 ,2 
신 산 리,1378 ,668 ,710 ,453 ,1371 ,664 ,707 ,7 ,4 ,3 
삼달 1리,441 ,212 ,229 ,164 ,441 ,212 ,229 ,0 ,0 ,0 
삼달 2리,235 ,107 ,128 ,87 ,235 ,107 ,128 ,0 ,0 ,0 
신 풍 리,627 ,328 ,299 ,218 ,627 ,328 ,299 ,0 ,0 ,0 
신 천 리,800 ,419 ,381 ,282 ,800 ,419 ,381 ,0 ,0 ,0 
안 덕 면,10407 ,5155 ,5252 ,3537 ,10397 ,5151 ,5246 ,10 ,4 ,6 
화 순 리,2745 ,1362 ,1383 ,910 ,2741 ,1362 ,1379 ,4 ,0 ,4 
사 계 리,2404 ,1171 ,1233 ,812 ,2403 ,1170 ,1233 ,1 ,1 ,0 
덕 수 리,1031 ,523 ,508 ,351 ,1030 ,523 ,507 ,1 ,0 ,1 
서광서리,509 ,251 ,258 ,187 ,506 ,248 ,258 ,3 ,3 ,0 
서광동리,412 ,197 ,215 ,140 ,412 ,197 ,215 ,0 ,0 ,0 
동 광 리,445 ,223 ,222 ,152 ,444 ,223 ,221 ,1 ,0 ,1 
광 평 리,60 ,31 ,29 ,20 ,60 ,31 ,29 ,0 ,0 ,0 
상 천 리,122 ,64 ,58 ,45 ,122 ,64 ,58 ,0 ,0 ,0 
상 창 리,354 ,175 ,179 ,114 ,354 ,175 ,179 ,0 ,0 ,0 
창 천 리,725 ,360 ,365 ,246 ,725 ,360 ,365 ,0 ,0 ,0 
대 평 리,656 ,321 ,335 ,252 ,656 ,321 ,335 ,0 ,0 ,0 
감 산 리,944 ,477 ,467 ,308 ,944 ,477 ,467 ,0 ,0 ,0 
표 선 면,11174 ,5562 ,5612 ,3869 ,11132 ,5537 ,5595 ,42 ,25 ,17 
표 선 리,4514 ,2175 ,2339 ,1643 ,4509 ,2173 ,2336 ,5 ,2 ,3 
하 천 리,1056 ,533 ,523 ,365 ,1056 ,533 ,523 ,0 ,0 ,0 
성읍 1리,1363 ,674 ,689 ,465 ,1361 ,673 ,688 ,2 ,1 ,1 
성읍 2리,303 ,150 ,153 ,93 ,269 ,129 ,140 ,34 ,21 ,13 
가 시 리,1227 ,649 ,578 ,404 ,1227 ,649 ,578 ,0 ,0 ,0 
세화 1리,692 ,343 ,349 ,230 ,692 ,343 ,349 ,0 ,0 ,0 
세화 2리,753 ,393 ,360 ,251 ,752 ,392 ,360 ,1 ,1 ,0 
세화 3리,196 ,103 ,93 ,62 ,196 ,103 ,93 ,0 ,0 ,0 
토산 1리,469 ,238 ,231 ,145 ,469 ,238 ,231 ,0 ,0 ,0 
토산 2리,601 ,304 ,297 ,211 ,601 ,304 ,297 ,0 ,0 ,0 
