2. 읍·면·동별 세대 및 인구,,,,,,,,,,
,,,,,,,,,," (단위: 세대, 명) "
월 림 리,428 ,235 ,193 ,161 ,367 ,189 ,178 ,61 ,46 ,15 
옹 포 리,1494 ,771 ,723 ,610 ,1480 ,763 ,717 ,14 ,8 ,6 
협 재 리,1521 ,771 ,750 ,520 ,1130 ,581 ,549 ,391 ,190 ,201 
금 능 리,1205 ,636 ,569 ,475 ,1142 ,580 ,562 ,63 ,56 ,7 
월 령 리,363 ,186 ,177 ,148 ,358 ,186 ,172 ,5 ,0 ,5 
비 양 리,156 ,74 ,82 ,66 ,156 ,74 ,82 ,0 ,0 ,0 
애 월 읍,29448 ,15041 ,14407 ,11868 ,28985 ,14814 ,14171 ,463 ,227 ,236 
애 월 리,1986 ,997 ,989 ,942 ,1950 ,969 ,981 ,36 ,28 ,8 
곽 지 리,1146 ,559 ,587 ,456 ,1136 ,556 ,580 ,10 ,3 ,7 
금 성 리,434 ,224 ,210 ,200 ,431 ,222 ,209 ,3 ,2 ,1 
봉 성 리,1218 ,637 ,581 ,467 ,1198 ,626 ,572 ,20 ,11 ,9 
어음 1리,256 ,137 ,119 ,128 ,250 ,134 ,116 ,6 ,3 ,3 
어음 2리,221 ,123 ,98 ,101 ,209 ,113 ,96 ,12 ,10 ,2 
납 읍 리,1357 ,693 ,664 ,541 ,1348 ,686 ,662 ,9 ,7 ,2 
고 내 리,1077 ,565 ,512 ,495 ,1052 ,547 ,505 ,25 ,18 ,7 
상 가 리,692 ,375 ,317 ,309 ,672 ,366 ,306 ,20 ,9 ,11 
하 가 리,443 ,218 ,225 ,174 ,438 ,218 ,220 ,5 ,0 ,5 
신 엄 리,1167 ,593 ,574 ,441 ,1154 ,592 ,562 ,13 ,1 ,12 
중 엄 리,610 ,308 ,302 ,261 ,608 ,308 ,300 ,2 ,0 ,2 
구 엄 리,961 ,480 ,481 ,359 ,952 ,474 ,478 ,9 ,6 ,3 
용 흥 리,362 ,181 ,181 ,150 ,359 ,181 ,178 ,3 ,0 ,3 
하귀 1리,4428 ,2221 ,2207 ,1651 ,4408 ,2216 ,2192 ,20 ,5 ,15 
하귀 2리,3327 ,1658 ,1669 ,1313 ,3297 ,1647 ,1650 ,30 ,11 ,19 
상 귀 리,772 ,427 ,345 ,317 ,765 ,426 ,339 ,7 ,1 ,6 
수 산 리,1204 ,605 ,599 ,420 ,1199 ,604 ,595 ,5 ,1 ,4 
소 길 리,388 ,216 ,172 ,163 ,378 ,208 ,170 ,10 ,8 ,2 
장 전 리,671 ,376 ,295 ,281 ,667 ,376 ,291 ,4 ,0 ,4 
유수암리,1054 ,563 ,491 ,457 ,1040 ,558 ,482 ,14 ,5 ,9 
고성 1리,1319 ,659 ,660 ,547 ,1304 ,654 ,650 ,15 ,5 ,10 
고성 2리,433 ,179 ,254 ,146 ,398 ,159 ,239 ,35 ,20 ,15 
광령 1리,2725 ,1389 ,1336 ,1062 ,2690 ,1374 ,1316 ,35 ,15 ,20 
광령 2리,852 ,468 ,384 ,362 ,743 ,411 ,332 ,109 ,57 ,52 
광령 3리,345 ,190 ,155 ,125 ,339 ,189 ,150 ,6 ,1 ,5 
구 좌 읍,14688 ,7461 ,7227 ,6260 ,14424 ,7290 ,7134 ,264 ,171 ,93 
동 복 리,580 ,309 ,271 ,244 ,566 ,299 ,267 ,14 ,10 ,4 
김 녕 리,2887 ,1409 ,1478 ,1142 ,2857 ,1403 ,1454 ,30 ,6 ,24 
덕 천 리,294 ,144 ,150 ,118 ,290 ,142 ,148 ,4 ,2 ,2 
월 정 리,724 ,368 ,356 ,296 ,713 ,364 ,349 ,11 ,4 ,7 
행 원 리,1044 ,556 ,488 ,438 ,988 ,515 ,473 ,56 ,41 ,15 
한 동 리,1318 ,700 ,618 ,519 ,1285 ,673 ,612 ,33 ,27 ,6 
평 대 리,1461 ,746 ,715 ,630 ,1438 ,728 ,710 ,23 ,18 ,5 
송 당 리,1004 ,533 ,471 ,397 ,983 ,521 ,462 ,21 ,12 ,9 
세 화 리,1993 ,962 ,1031 ,1012 ,1960 ,935 ,1025 ,33 ,27 ,6 
상 도 리,366 ,180 ,186 ,162 ,361 ,176 ,185 ,5 ,4 ,1 
하 도 리,1815 ,939 ,876 ,818 ,1797 ,932 ,865 ,18 ,7 ,11 
종 달 리,1202 ,615 ,587 ,484 ,1186 ,602 ,584 ,16 ,13 ,3 
조 천 읍,20763 ,10684 ,10079 ,8137 ,20528 ,10555 ,9973 ,235 ,129 ,106 
신 촌 리,3846 ,2012 ,1834 ,1444 ,3813 ,2004 ,1809 ,33 ,8 ,25 
조 천 리,5111 ,2532 ,2579 ,1997 ,5059 ,2511 ,2548 ,52 ,21 ,31 
신 흥 리,576 ,299 ,277 ,237 ,574 ,299 ,275 ,2 ,0 ,2 
함 덕 리,6259 ,3197 ,3062 ,2323 ,6207 ,3174 ,3033 ,52 ,23 ,29 
북 촌 리,1499 ,789 ,710 ,617 ,1476 ,775 ,701 ,23 ,14 ,9 
선흘 1리,663 ,346 ,317 ,302 ,660 ,345 ,315 ,3 ,1 ,2 
선흘 2리,449 ,237 ,212 ,205 ,430 ,218 ,212 ,19 ,19 ,0 
와 산 리,395 ,200 ,195 ,189 ,386 ,193 ,193 ,9 ,7 ,2 
대흘 1리,388 ,217 ,171 ,184 ,385 ,215 ,170 ,3 ,2 ,1 
대흘 2리,328 ,171 ,157 ,134 ,325 ,168 ,157 ,3 ,3 ,0 
와 흘 리,889 ,479 ,410 ,355 ,869 ,463 ,406 ,20 ,16 ,4 
교 래 리,360 ,205 ,155 ,150 ,344 ,190 ,154 ,16 ,15 ,1 
한 경 면,8247 ,4154 ,4093 ,3712 ,8105 ,4059 ,4046 ,142 ,95 ,47 
판 포 리,514 ,257 ,257 ,234 ,511 ,256 ,255 ,3 ,1 ,2 
금 등 리,146 ,76 ,70 ,74 ,143 ,73 ,70 ,3 ,3 ,0 
두 모 리,454 ,217 ,237 ,203 ,443 ,213 ,230 ,11 ,4 ,7 
신 창 리,856 ,410 ,446 ,428 ,852 ,409 ,443 ,4 ,1 ,3 
용 당 리,236 ,105 ,131 ,120 ,235 ,105 ,130 ,1 ,0 ,1 
한 원 리,315 ,167 ,148 ,141 ,315 ,167 ,148 ,0 ,0 ,0 
낙 천 리,203 ,105 ,98 ,102 ,203 ,105 ,98 ,0 ,0 ,0 
조수 1리,689 ,349 ,340 ,316 ,679 ,343 ,336 ,10 ,6 ,4 
조수 2리,139 ,75 ,64 ,70 ,137 ,74 ,63 ,2 ,1 ,1 
청 수 리,557 ,275 ,282 ,237 ,545 ,269 ,276 ,12 ,6 ,6 
저 지 리,1055 ,544 ,511 ,445 ,1041 ,539 ,502 ,14 ,5 ,9 
고산 1리,1579 ,797 ,782 ,682 ,1543 ,766 ,777 ,36 ,31 ,5 
고산 2리,600 ,305 ,295 ,272 ,592 ,301 ,291 ,8 ,4 ,4 
산 양 리,426 ,221 ,205 ,178 ,421 ,220 ,201 ,5 ,1 ,4 
용 수 리,478 ,251 ,227 ,210 ,445 ,219 ,226 ,33 ,32 ,1 
추 자 면,2674 ,1607 ,1067 ,1193 ,2303 ,1260 ,1043 ,371 ,347 ,24 
대 서 리,1330 ,871 ,459 ,523 ,1030 ,585 ,445 ,300 ,286 ,14 
영 흥 리,467 ,265 ,202 ,223 ,443 ,243 ,200 ,24 ,22 ,2 
묵    리,197 ,99 ,98 ,110 ,187 ,92 ,95 ,10 ,7 ,3 
예 초 리,161 ,75 ,86 ,94 ,154 ,68 ,86 ,7 ,7 ,0 
신양 1리,364 ,198 ,166 ,192 ,344 ,183 ,161 ,20 ,15 ,5 
신양 2리,155 ,99 ,56 ,51 ,145 ,89 ,56 ,10 ,10 ,0 
우 도 면,1617 ,823 ,794 ,778 ,1601 ,812 ,789 ,16 ,11 ,5 
서 광 리,478 ,252 ,226 ,224 ,474 ,248 ,226 ,4 ,4 ,0 
천 진 리,312 ,162 ,150 ,164 ,310 ,161 ,149 ,2 ,1 ,1 
조 일 리,406 ,199 ,207 ,191 ,405 ,199 ,206 ,1 ,0 ,1 
오 봉 리,421 ,210 ,211 ,199 ,412 ,204 ,208 ,9 ,6 ,3 
일도 1동,3867 ,1934 ,1933 ,1943 ,3829 ,1921 ,1908 ,38 ,13 ,25 
일도 2동,37618 ,18489 ,19129 ,13317 ,37440 ,18425 ,19015 ,178 ,64 ,114 
이도 1동,7899 ,3896 ,4003 ,3411 ,7819 ,3856 ,3963 ,80 ,40 ,40 
이도 2동,48661 ,23580 ,25081 ,17411 ,48420 ,23498 ,24922 ,241 ,82 ,159 
이도 2동,32501 ,15720 ,16781 ,11831 ,32339 ,15663 ,16676 ,162 ,57 ,105 
도 남 동,16160 ,7860 ,8300 ,5580 ,16081 ,7835 ,8246 ,79 ,25 ,54 
삼도 1동,14530 ,7081 ,7449 ,5648 ,14462 ,7064 ,7398 ,68 ,17 ,51 
삼도 2동,9641 ,4862 ,4779 ,4512 ,9543 ,4798 ,4745 ,98 ,64 ,34 
용담 1동,8578 ,4353 ,4225 ,3745 ,8531 ,4336 ,4195 ,47 ,17 ,30 
용담 2동,17243 ,8635 ,8608 ,6634 ,17153 ,8609 ,8544 ,90 ,26 ,64 
용담 2동,14627 ,7310 ,7317 ,5634 ,14560 ,7294 ,7266 ,67 ,16 ,51 
용담 3동,2616 ,1325 ,1291 ,1000 ,2593 ,1315 ,1278 ,23 ,10 ,13 
건 입 동,10887 ,5557 ,5330 ,4453 ,10759 ,5481 ,5278 ,128 ,76 ,52 
화 북 동,23299 ,11665 ,11634 ,8093 ,23170 ,11608 ,11562 ,129 ,57 ,72 
화북 1동,20745 ,10316 ,10429 ,7073 ,20647 ,10283 ,10364 ,98 ,33 ,65 
화북 2동,2554 ,1349 ,1205 ,1020 ,2523 ,1325 ,1198 ,31 ,24 ,7 
삼 양 동,11212 ,5654 ,5558 ,4042 ,11146 ,5642 ,5504 ,66 ,12 ,54 
삼양 1동,2806 ,1413 ,1393 ,1012 ,2774 ,1406 ,1368 ,32 ,7 ,25 
삼양 2동,4308 ,2143 ,2165 ,1524 ,4288 ,2140 ,2148 ,20 ,3 ,17 
삼양 3동,392 ,211 ,181 ,147 ,392 ,211 ,181 ,0 ,0 ,0 
도련 1동,2921 ,1482 ,1439 ,1065 ,2908 ,1480 ,1428 ,13 ,2 ,11 
도련 2동,785 ,405 ,380 ,294 ,784 ,405 ,379 ,1 ,0 ,1 
봉 개 동,3085 ,1619 ,1466 ,1227 ,3046 ,1599 ,1447 ,39 ,20 ,19 
봉 개 동,2170 ,1121 ,1049 ,844 ,2148 ,1115 ,1033 ,22 ,6 ,16 
회 천 동,534 ,297 ,237 ,212 ,521 ,285 ,236 ,13 ,12 ,1 
용 강 동,381 ,201 ,180 ,171 ,377 ,199 ,178 ,4 ,2 ,2 
아 라 동,15852 ,8097 ,7755 ,6210 ,15206 ,7734 ,7472 ,646 ,363 ,283 
아라 1동,7709 ,3937 ,3772 ,3150 ,7151 ,3618 ,3533 ,558 ,319 ,239 
아라 2동,3650 ,1800 ,1850 ,1296 ,3635 ,1798 ,1837 ,15 ,2 ,13 
오 등 동,1910 ,959 ,951 ,722 ,1897 ,952 ,945 ,13 ,7 ,6 
월 평 동,964 ,548 ,416 ,397 ,953 ,540 ,413 ,11 ,8 ,3 
영 평 동,1619 ,853 ,766 ,645 ,1570 ,826 ,744 ,49 ,27 ,22 
오 라 동,6972 ,3576 ,3396 ,2724 ,6948 ,3569 ,3379 ,24 ,7 ,17 
오라 1동,1938 ,1014 ,924 ,753 ,1930 ,1011 ,919 ,8 ,3 ,5 
오라 2동,3615 ,1849 ,1766 ,1405 ,3603 ,1845 ,1758 ,12 ,4 ,8 
오라 3동,1419 ,713 ,706 ,566 ,1415 ,713 ,702 ,4 ,0 ,4 
연    동,43276 ,21094 ,22182 ,17989 ,42705 ,20856 ,21849 ,571 ,238 ,333 
노 형 동,51738 ,25346 ,26392 ,18438 ,51124 ,25070 ,26054 ,614 ,276 ,338 
노 형 동,50332 ,24637 ,25695 ,17896 ,49749 ,24376 ,25373 ,583 ,261 ,322 
해 안 동,1406 ,709 ,697 ,542 ,1375 ,694 ,681 ,31 ,15 ,16 
외 도 동,16239 ,8152 ,8087 ,5814 ,16165 ,8119 ,8046 ,74 ,33 ,41 
외도 1동,12598 ,6271 ,6327 ,4322 ,12545 ,6246 ,6299 ,53 ,25 ,28 
외도 2동,1008 ,530 ,478 ,429 ,1003 ,529 ,474 ,5 ,1 ,4 
내 도 동,1453 ,779 ,674 ,552 ,1440 ,773 ,667 ,13 ,6 ,7 
도 평 동,1180 ,572 ,608 ,511 ,1177 ,571 ,606 ,3 ,1 ,2 
이 호 동,4068 ,2141 ,1927 ,1559 ,4021 ,2130 ,1891 ,47 ,11 ,36 
이호 1동,1475 ,800 ,675 ,616 ,1455 ,793 ,662 ,20 ,7 ,13 
이호 2동,2593 ,1341 ,1252 ,943 ,2566 ,1337 ,1229 ,27 ,4 ,23 
도 두 동,2802 ,1454 ,1348 ,1115 ,2779 ,1442 ,1337 ,23 ,12 ,11 
도두 1동,1726 ,907 ,819 ,713 ,1709 ,898 ,811 ,17 ,9 ,8 
도두 2동,1076 ,547 ,529 ,402 ,1070 ,544 ,526 ,6 ,3 ,3 
서귀포시,157036 ,79611 ,77425 ,63483 ,154057 ,77625 ,76432 ,2979 ,1986 ,993 
대 정 읍,17198 ,8645 ,8553 ,7109 ,16574 ,8309 ,8265 ,624 ,336 ,288 
상모 1리,759 ,384 ,375 ,309 ,751 ,384 ,367 ,8 ,0 ,8 
상모 2리,1782 ,874 ,908 ,742 ,1771 ,869 ,902 ,11 ,5 ,6 
상모 3리,1078 ,539 ,539 ,410 ,1068 ,537 ,531 ,10 ,2 ,8 
하모 1리,584 ,291 ,293 ,235 ,573 ,290 ,283 ,11 ,1 ,10 
하모 2리,2182 ,1091 ,1091 ,918 ,2165 ,1084 ,1081 ,17 ,7 ,10 
하모 3리,3197 ,1569 ,1628 ,1393 ,3161 ,1555 ,1606 ,36 ,14 ,22 
동일 1리,613 ,319 ,294 ,247 ,611 ,318 ,293 ,2 ,1 ,1 
동일 2리,111 ,70 ,41 ,38 ,82 ,42 ,40 ,29 ,28 ,1 
일과 1리,471 ,239 ,232 ,185 ,465 ,238 ,227 ,6 ,1 ,5 
일과 2리,537 ,287 ,250 ,221 ,500 ,255 ,245 ,37 ,32 ,5 
인 성 리,556 ,269 ,287 ,241 ,554 ,269 ,285 ,2 ,0 ,2 
안 성 리,403 ,214 ,189 ,151 ,369 ,198 ,171 ,34 ,16 ,18 
보 성 리,524 ,259 ,265 ,231 ,521 ,259 ,262 ,3 ,0 ,3 
신 평 리,441 ,238 ,203 ,188 ,423 ,225 ,198 ,18 ,13 ,5 
구 억 리,857 ,404 ,453 ,223 ,573 ,273 ,300 ,284 ,131 ,153 
가 파 리,250 ,127 ,123 ,118 ,250 ,127 ,123 ,0 ,0 ,0 
마 라 리,91 ,52 ,39 ,49 ,91 ,52 ,39 ,0 ,0 ,0 
영 락 리,659 ,354 ,305 ,282 ,597 ,305 ,292 ,62 ,49 ,13 
무릉 1리,703 ,373 ,330 ,317 ,671 ,344 ,327 ,32 ,29 ,3 
무릉 2리,553 ,280 ,273 ,237 ,550 ,279 ,271 ,3 ,1 ,2 
신도 1리,395 ,186 ,209 ,169 ,384 ,182 ,202 ,11 ,4 ,7 
신도 2리,235 ,111 ,124 ,108 ,231 ,110 ,121 ,4 ,1 ,3 
신도 3리,217 ,115 ,102 ,97 ,213 ,114 ,99 ,4 ,1 ,3 
남 원 읍,18285 ,9360 ,8925 ,7206 ,18050 ,9195 ,8855 ,235 ,165 ,70 
신흥 1리,864 ,447 ,417 ,369 ,852 ,436 ,416 ,12 ,11 ,1 
신흥 2리,522 ,266 ,256 ,215 ,518 ,265 ,253 ,4 ,1 ,3 
태흥1리,782 ,412 ,370 ,314 ,776 ,408 ,368 ,6 ,4 ,2 
태흥2리,1246 ,625 ,621 ,495 ,1229 ,612 ,617 ,17 ,13 ,4 
태흥3리,504 ,266 ,238 ,203 ,470 ,236 ,234 ,34 ,30 ,4 
의 귀 리,1109 ,568 ,541 ,439 ,1096 ,559 ,537 ,13 ,9 ,4 
수 망 리,374 ,191 ,183 ,161 ,373 ,191 ,182 ,1 ,0 ,1 
한 남 리,418 ,225 ,193 ,187 ,412 ,221 ,191 ,6 ,4 ,2 
남원 1리,3637 ,1804 ,1833 ,1399 ,3617 ,1801 ,1816 ,20 ,3 ,17 
남원 2리,570 ,276 ,294 ,229 ,566 ,274 ,292 ,4 ,2 ,2 
위미 1리,1728 ,896 ,832 ,679 ,1721 ,892 ,829 ,7 ,4 ,3 
위미 2리,2376 ,1225 ,1151 ,897 ,2340 ,1194 ,1146 ,36 ,31 ,5 
위미 3리,416 ,224 ,192 ,160 ,403 ,215 ,188 ,13 ,9 ,4 
신례 1리,1453 ,756 ,697 ,539 ,1439 ,752 ,687 ,14 ,4 ,10 
신례 2리,531 ,269 ,262 ,228 ,520 ,261 ,259 ,11 ,8 ,3 
하례 1리,1194 ,618 ,576 ,462 ,1162 ,590 ,572 ,32 ,28 ,4 
하례 2리,561 ,292 ,269 ,230 ,556 ,288 ,268 ,5 ,4 ,1 
성 산 읍,14364 ,7562 ,6802 ,6252 ,13828 ,7106 ,6722 ,536 ,456 ,80 
성 산 리,1904 ,1075 ,829 ,825 ,1742 ,923 ,819 ,162 ,152 ,10 
오 조 리,1048 ,576 ,472 ,448 ,992 ,526 ,466 ,56 ,50 ,6 
시 흥 리,1122 ,587 ,535 ,490 ,1098 ,572 ,526 ,24 ,15 ,9 
고 성 리,3392 ,1747 ,1645 ,1484 ,3301 ,1681 ,1620 ,91 ,66 ,25 
수산 1리,877 ,452 ,425 ,381 ,872 ,452 ,420 ,5 ,0 ,5 
수산 2리,283 ,144 ,139 ,146 ,278 ,139 ,139 ,5 ,5 ,0 
신 양 리,954 ,488 ,466 ,434 ,923 ,467 ,456 ,31 ,21 ,10 
온 평 리,1373 ,737 ,636 ,559 ,1310 ,679 ,631 ,63 ,58 ,5 
난 산 리,417 ,211 ,206 ,208 ,415 ,211 ,204 ,2 ,0 ,2 
신 산 리,1158 ,581 ,577 ,493 ,1132 ,557 ,575 ,26 ,24 ,2 
삼달 1리,364 ,179 ,185 ,172 ,363 ,179 ,184 ,1 ,0 ,1 
삼달 2리,223 ,120 ,103 ,99 ,210 ,107 ,103 ,13 ,13 ,0 
신 풍 리,571 ,300 ,271 ,223 ,553 ,284 ,269 ,18 ,16 ,2 
신 천 리,678 ,365 ,313 ,290 ,639 ,329 ,310 ,39 ,36 ,3 
안 덕 면,10007 ,5208 ,4799 ,3968 ,9642 ,4921 ,4721 ,365 ,287 ,78 
화 순 리,2637 ,1426 ,1211 ,1007 ,2414 ,1243 ,1171 ,223 ,183 ,40 
사 계 리,2137 ,1081 ,1056 ,852 ,2100 ,1051 ,1049 ,37 ,30 ,7 
덕 수 리,979 ,509 ,470 ,382 ,972 ,504 ,468 ,7 ,5 ,2 
서광서리,640 ,340 ,300 ,273 ,612 ,318 ,294 ,28 ,22 ,6 
서광동리,394 ,205 ,189 ,166 ,386 ,198 ,188 ,8 ,7 ,1 
동 광 리,558 ,286 ,272 ,182 ,517 ,261 ,256 ,41 ,25 ,16 
광 평 리,59 ,37 ,22 ,30 ,58 ,36 ,22 ,1 ,1 ,0 
상 천 리,105 ,54 ,51 ,44 ,105 ,54 ,51 ,0 ,0 ,0 
상 창 리,446 ,224 ,222 ,175 ,442 ,221 ,221 ,4 ,3 ,1 
창 천 리,616 ,300 ,316 ,240 ,614 ,300 ,314 ,2 ,0 ,2 
대 평 리,546 ,294 ,252 ,263 ,538 ,288 ,250 ,8 ,6 ,2 
감 산 리,890 ,452 ,438 ,354 ,884 ,447 ,437 ,6 ,5 ,1 
표 선 면,10983 ,5587 ,5396 ,4634 ,10783 ,5456 ,5327 ,200 ,131 ,69 
표 선 리,4725 ,2325 ,2400 ,2103 ,4652 ,2275 ,2377 ,73 ,50 ,23 
하 천 리,956 ,487 ,469 ,410 ,938 ,473 ,465 ,18 ,14 ,4 
성읍 1리,1333 ,687 ,646 ,534 ,1317 ,679 ,638 ,16 ,8 ,8 
성읍 2리,309 ,155 ,154 ,121 ,279 ,137 ,142 ,30 ,18 ,12 
가 시 리,1181 ,641 ,540 ,477 ,1163 ,629 ,534 ,18 ,12 ,6 
세화 1리,609 ,329 ,280 ,257 ,600 ,321 ,279 ,9 ,8 ,1 
세화 2리,691 ,353 ,338 ,272 ,669 ,334 ,335 ,22 ,19 ,3 
세화 3리,139 ,71 ,68 ,49 ,139 ,71 ,68 ,0 ,0 ,0 
토산 1리,417 ,218 ,199 ,157 ,411 ,217 ,194 ,6 ,1 ,5 
토산 2리,623 ,321 ,302 ,254 ,615 ,320 ,295 ,8 ,1 ,7 
송 산 동,5160 ,2744 ,2416 ,2142 ,4956 ,2574 ,2382 ,204 ,170 ,34 
서 귀 동,2653 ,1450 ,1203 ,1184 ,2479 ,1296 ,1183 ,174 ,154 ,20 
보 목 동,2460 ,1270 ,1190 ,935 ,2430 ,1254 ,1176 ,30 ,16 ,14 
토 평 동,37 ,21 ,16 ,18 ,37 ,21 ,16 ,0 ,0 ,0 
동 홍 동,10 ,3 ,7 ,5 ,10 ,3 ,7 ,0 ,0 ,0 
정 방 동,2900 ,1462 ,1438 ,1505 ,2871 ,1451 ,1420 ,29 ,11 ,18 
서 귀 동,2900 ,1462 ,1438 ,1505 ,2871 ,1451 ,1420 ,29 ,11 ,18 
중 앙 동,4460 ,2112 ,2348 ,2230 ,4408 ,2089 ,2319 ,52 ,23 ,29 
서 귀 동,4460 ,2112 ,2348 ,2230 ,4408 ,2089 ,2319 ,52 ,23 ,29 
천 지 동,3973 ,1992 ,1981 ,1929 ,3940 ,1972 ,1968 ,33 ,20 ,13 
서 귀 동,3638 ,1819 ,1819 ,1793 ,3606 ,1799 ,1807 ,32 ,20 ,12 
서 홍 동,335 ,173 ,162 ,136 ,334 ,173 ,161 ,1 ,0 ,1 
효 돈 동,5037 ,2562 ,2475 ,1844 ,5005 ,2544 ,2461 ,32 ,18 ,14 
신 효 동,1835 ,936 ,899 ,684 ,1823 ,929 ,894 ,12 ,7 ,5 
하 효 동,3202 ,1626 ,1576 ,1160 ,3182 ,1615 ,1567 ,20 ,11 ,9 
영 천 동,5016 ,2544 ,2472 ,2082 ,4980 ,2528 ,2452 ,36 ,16 ,20 
토 평 동,3644 ,1868 ,1776 ,1511 ,3619 ,1858 ,1761 ,25 ,10 ,15 
상 효 동,1372 ,676 ,696 ,571 ,1361 ,670 ,691 ,11 ,6 ,5 
동 홍 동,21539 ,10603 ,10936 ,7653 ,21379 ,10508 ,10871 ,160 ,95 ,65 
서 홍 동,8896 ,4469 ,4427 ,3514 ,8817 ,4418 ,4399 ,79 ,51 ,28 
대 륜 동,9344 ,4694 ,4650 ,3575 ,9280 ,4669 ,4611 ,64 ,25 ,39 
법 환 동,4648 ,2314 ,2334 ,1784 ,4625 ,2303 ,2322 ,23 ,11 ,12 
서 호 동,2759 ,1379 ,1380 ,1032 ,2738 ,1369 ,1369 ,21 ,10 ,11 
호 근 동,1937 ,1001 ,936 ,759 ,1917 ,997 ,920 ,20 ,4 ,16 
대 천 동,7179 ,3652 ,3527 ,2768 ,7042 ,3546 ,3496 ,137 ,106 ,31 
월 평 동,651 ,338 ,313 ,258 ,646 ,337 ,309 ,5 ,1 ,4 
강 정 동,5588 ,2847 ,2741 ,2118 ,5458 ,2742 ,2716 ,130 ,105 ,25 
도 순 동,937 ,465 ,472 ,389 ,935 ,465 ,470 ,2 ,0 ,2 
영 남 동,3 ,2 ,1 ,3 ,3 ,2 ,1 ,0 ,0 ,0 
중 문 동,9094 ,4635 ,4459 ,3598 ,8967 ,4584 ,4383 ,127 ,51 ,76 
중 문 동,5334 ,2696 ,2638 ,2087 ,5269 ,2671 ,2598 ,65 ,25 ,40 
대 포 동,1614 ,832 ,782 ,664 ,1589 ,820 ,769 ,25 ,12 ,13 
하 원 동,1506 ,786 ,720 ,583 ,1473 ,772 ,701 ,33 ,14 ,19 
회 수 동,640 ,321 ,319 ,264 ,636 ,321 ,315 ,4 ,0 ,4 
예 래 동,3601 ,1780 ,1821 ,1474 ,3535 ,1755 ,1780 ,66 ,25 ,41 
색 달 동,855 ,452 ,403 ,352 ,816 ,432 ,384 ,39 ,20 ,19 
상 예 동,1574 ,761 ,813 ,660 ,1552 ,756 ,796 ,22 ,5 ,17 
하 예 동,1172 ,567 ,605 ,462 ,1167 ,567 ,600 ,5 ,0 ,5
