2. 읍·면·동별 세대 및 인구,,,,,,,,,,
,,,,,,,,,," (단위: 세대, 명) "
구   분, 합          계 ,,, 한   국   인  ,,,,  외   국   인 ,,
, 인     구 ,,, 세대 , 인      구 ,,, 인     구 ,,
, 계 , 남 , 여 ,, 계 , 남 , 여 , 계 , 남 , 여 
총계,592449 ,297344 ,295105 ,232141 ,583713 ,292213 ,291500 ,8736 ,5131 ,3605 
제 주 시,435413 ,217733 ,217680 ,168658 ,429656 ,214588 ,215068 ,5757 ,3145 ,2612 
한 림 읍,20509 ,10778 ,9731 ,8425 ,19444 ,10041 ,9403 ,1065 ,737 ,328 
귀덕 1리,1113 ,581 ,532 ,457 ,1100 ,574 ,526 ,13 ,7 ,6 
귀덕 2리,595 ,296 ,299 ,272 ,584 ,290 ,294 ,11 ,6 ,5 
귀덕 3리,298 ,153 ,145 ,127 ,298 ,153 ,145 ,0 ,0 ,0 
수 원 리,1105 ,565 ,540 ,468 ,1072 ,536 ,536 ,33 ,29 ,4 
한 수 리,700 ,400 ,300 ,283 ,661 ,364 ,297 ,39 ,36 ,3 
대 림 리,2059 ,1051 ,1008 ,858 ,2028 ,1032 ,996 ,31 ,19 ,12 
한림 1리,3043 ,1638 ,1405 ,1265 ,2917 ,1530 ,1387 ,126 ,108 ,18 
한림 2리,2418 ,1235 ,1183 ,1069 ,2370 ,1196 ,1174 ,48 ,39 ,9 
한림 3리,143 ,71 ,72 ,66 ,143 ,71 ,72 ,0 ,0 ,0 
강 구 리,268 ,138 ,130 ,107 ,265 ,136 ,129 ,3 ,2 ,1 
상 대 리,306 ,189 ,117 ,112 ,271 ,158 ,113 ,35 ,31 ,4 
동 명 리,856 ,455 ,401 ,333 ,839 ,442 ,397 ,17 ,13 ,4 
명 월 리,796 ,417 ,379 ,355 ,757 ,385 ,372 ,39 ,32 ,7 
금 악 리,1212 ,670 ,542 ,478 ,1092 ,570 ,522 ,120 ,100 ,20 
상 명 리,430 ,246 ,184 ,195 ,414 ,231 ,183 ,16 ,15 ,1 
